Navn;Ejd_beliggenhed;CVR;KOMMUNE_NR;EJD_NR;Andel;delta_Ejendoms_værdi;delta_Grund_værdi;delta_Stuehus_værdi;delta_Stuehus_Grund_værdi;Vurdering_Aktuel;Ejendoms_værdi_Aktuel;Grund_Værdi_Aktuel;Stuehus_Værdi_Aktuel;Stuehus_grundværdi_Aktuel;Historisk_vurdering;Historisk_ejendomsværdi;Historisk_grundværdi;Historisk_stuehusværdi;Historisk_stuehus_grundværdi;Elavskode;Matrnr
Middelfart Kommune;Kirkevej 16 (5464);29189684;410;3;100;380100;1785400;0;0;2016;2330100;2330100;0;0;2004;1950000;544700;0;0;400353;17A
Middelfart Kommune;Kirkevej 16 (5464);29189684;410;3;100;380100;1785400;0;0;2016;2330100;2330100;0;0;2004;1950000;544700;0;0;400353;17A
Middelfart kommune;Bogensevej 12 (5464) Klubhus KU;29189684;410;122;100;50000;0;0;0;2016;560000;17600;0;0;2004;510000;17600;0;0;400351;7X
Middelfart kommune;Brenderup Skov;29189684;410;344;100;57300;57300;0;0;2016;143200;143200;0;0;2004;85900;85900;0;0;400353;
Middelfart kommune;Anlægsvej 4 - Rådhus;29189684;410;535;100;-1500000;2442300;0;0;2016;13700000;8140900;0;0;2004;15200000;5698600;0;0;400451;3BØ
Middelfart Kommune;Jægersmindevej 17A;29189684;410;587;100;131400;131400;0;0;2016;656700;656700;0;0;2004;525300;525300;0;0;400553;14O
Middelfart Kommune;Jægersmindevej 17A;29189684;410;587;100;131400;131400;0;0;2016;656700;656700;0;0;2004;525300;525300;0;0;400553;14O
Middelfart Kommune;Jægersmindevej 17A;29189684;410;587;100;131400;131400;0;0;2016;656700;656700;0;0;2004;525300;525300;0;0;400553;40G
Middelfart Kommune;Jægersmindevej 17A;29189684;410;587;100;131400;131400;0;0;2016;656700;656700;0;0;2004;525300;525300;0;0;400553;40G
Middelfart kommune;Jægersmindevej 1A - P.plads;29189684;410;588;100;12400;12400;0;0;2016;62000;62000;0;0;2004;49600;49600;0;0;400553;18AG
Middelfart Kommune;Gelsted Byvej 29 - ungdomsskole;29189684;410;594;100;70000;30600;0;0;2016;520000;153200;0;0;2004;450000;122600;0;0;400851;8CÆ
Middelfart kommune;Jernbanevej 21 (5592);29189684;410;607;100;-250000;31000;0;0;2016;2200000;154600;0;0;2004;2450000;123600;0;0;400451;14CO
Middelfart kommune;Jernbanevej 21 (5592);29189684;410;607;100;-250000;31000;0;0;2016;2200000;154600;0;0;2004;2450000;123600;0;0;400451;14CO
Middelfart kommune;Jernbanevej 21 (5592);29189684;410;607;100;-250000;31000;0;0;2016;2200000;154600;0;0;2004;2450000;123600;0;0;400451;14CO
Middelfart kommune;Rugårdsvej 28 A;29189684;410;649;100;43300;43300;0;0;2016;108300;108300;0;0;2004;65000;65000;0;0;400952;61D
Middelfart Kommune;Kirkevej 29 (5464) Skole;29189684;410;656;100;-1400000;-2900;0;0;2016;13300000;650100;0;0;2004;14700000;653000;0;0;400353;2V
